C1,C2,Cb,Ld,Ls,WN1,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.8e-05,25000000000.0,0.0258,-15.76,3.661,4.96
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.2e-05,30700000000.0,0.0175,-19.29,3.62,3.943
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.3e-05,29600000000.0,0.0189,-18.64,3.596,4.229
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.4e-05,28500000000.0,0.0202,-17.95,3.587,4.465
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.5e-05,27600000000.0,0.0216,-17.31,3.591,4.654
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.6e-05,26600000000.0,0.023,-16.73,3.606,4.797
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.7e-05,25700000000.0,0.0244,-16.22,3.63,4.898
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,1.9e-05,24300000000.0,0.0272,-15.35,3.699,4.984
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,2e-05,23600000000.0,0.0286,-14.97,3.742,4.975
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,2.1e-05,23000000000.0,0.03,-14.61,3.79,4.936
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,2.2e-05,22300000000.0,0.0313,-14.28,3.841,4.868
2e-13,5e-14,5.5e-13,1.8e-10,1.5e-09,2.3e-05,21800000000.0,0.0327,-13.95,3.896,4.775
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.8e-05,25000000000.0,0.0258,-17.22,3.469,4.96
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.2e-05,30700000000.0,0.0175,-24.57,3.444,3.943
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.3e-05,29600000000.0,0.0189,-22.35,3.416,4.229
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.4e-05,28500000000.0,0.0202,-20.72,3.404,4.465
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.5e-05,27600000000.0,0.0216,-19.5,3.406,4.654
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.6e-05,26600000000.0,0.023,-18.57,3.418,4.797
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.7e-05,25700000000.0,0.0244,-17.82,3.44,4.898
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,1.9e-05,24300000000.0,0.0272,-16.71,3.505,4.984
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,2e-05,23600000000.0,0.0286,-16.26,3.546,4.975
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,2.1e-05,23000000000.0,0.03,-15.87,3.592,4.936
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,2.2e-05,22300000000.0,0.0313,-15.5,3.641,4.868
2e-13,5e-14,5.5e-13,1.8e-10,5e-10,2.3e-05,21800000000.0,0.0327,-15.16,3.695,4.775
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.8e-05,25000000000.0,0.0258,-15.41,3.706,4.96
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.2e-05,30700000000.0,0.0175,-18.44,3.662,3.943
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.3e-05,29600000000.0,0.0189,-17.93,3.639,4.229
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.4e-05,28500000000.0,0.0202,-17.36,3.63,4.465
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.5e-05,27600000000.0,0.0216,-16.81,3.635,4.654
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.6e-05,26600000000.0,0.023,-16.3,3.65,4.797
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.7e-05,25700000000.0,0.0244,-15.83,3.674,4.898
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,1.9e-05,24300000000.0,0.0272,-15.02,3.744,4.984
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,2e-05,23600000000.0,0.0286,-14.66,3.787,4.975
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,2.1e-05,23000000000.0,0.03,-14.32,3.835,4.936
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,2.2e-05,22300000000.0,0.0313,-13.99,3.887,4.868
2e-13,5e-14,5.5e-13,1.8e-10,2.5e-09,2.3e-05,21800000000.0,0.0327,-13.68,3.941,4.775
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.8e-05,25000000000.0,0.0258,-15.26,3.726,4.96
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.2e-05,30700000000.0,0.0175,-18.1,3.681,3.943
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.3e-05,29600000000.0,0.0189,-17.64,3.658,4.229
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.4e-05,28500000000.0,0.0202,-17.11,3.65,4.465
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.5e-05,27600000000.0,0.0216,-16.59,3.654,4.654
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.6e-05,26600000000.0,0.023,-16.11,3.67,4.797
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.7e-05,25700000000.0,0.0244,-15.67,3.694,4.898
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,1.9e-05,24300000000.0,0.0272,-14.88,3.764,4.984
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,2e-05,23600000000.0,0.0286,-14.53,3.807,4.975
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,2.1e-05,23000000000.0,0.03,-14.19,3.855,4.936
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,2.2e-05,22300000000.0,0.0313,-13.87,3.907,4.868
2e-13,5e-14,5.5e-13,1.8e-10,3.5e-09,2.3e-05,21800000000.0,0.0327,-13.56,3.961,4.775
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.8e-05,25000000000.0,0.0258,-15.17,3.737,4.96
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.2e-05,30700000000.0,0.0175,-17.91,3.692,3.943
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.3e-05,29600000000.0,0.0189,-17.48,3.668,4.229
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.4e-05,28500000000.0,0.0202,-16.97,3.66,4.465
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.5e-05,27600000000.0,0.0216,-16.48,3.665,4.654
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.6e-05,26600000000.0,0.023,-16.01,3.681,4.797
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.7e-05,25700000000.0,0.0244,-15.57,3.705,4.898
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,1.9e-05,24300000000.0,0.0272,-14.8,3.775,4.984
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,2e-05,23600000000.0,0.0286,-14.45,3.818,4.975
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,2.1e-05,23000000000.0,0.03,-14.12,3.866,4.936
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,2.2e-05,22300000000.0,0.0313,-13.8,3.918,4.868
2e-13,5e-14,5.5e-13,1.8e-10,4.5e-09,2.3e-05,21800000000.0,0.0327,-13.49,3.973,4.775
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.8e-05,25000000000.0,0.0258,-15.12,3.744,4.96
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.2e-05,30700000000.0,0.0175,-17.8,3.698,3.943
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.3e-05,29600000000.0,0.0189,-17.38,3.675,4.229
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.4e-05,28500000000.0,0.0202,-16.89,3.667,4.465
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.5e-05,27600000000.0,0.0216,-16.4,3.672,4.654
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.6e-05,26600000000.0,0.023,-15.94,3.688,4.797
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.7e-05,25700000000.0,0.0244,-15.51,3.712,4.898
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,1.9e-05,24300000000.0,0.0272,-14.75,3.782,4.984
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,2e-05,23600000000.0,0.0286,-14.41,3.825,4.975
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,2.1e-05,23000000000.0,0.03,-14.08,3.873,4.936
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,2.2e-05,22300000000.0,0.0313,-13.76,3.925,4.868
2e-13,5e-14,5.5e-13,1.8e-10,5.5e-09,2.3e-05,21800000000.0,0.0327,-13.45,3.98,4.775
2e-13,5e-14,5.5e-13,8e-11,1.5e-09,1.8e-05,26300000000.0,0.0258,-11.13,3.661,0.149
2e-13,5e-14,5.5e-13,8e-11,1.5e-09,1.9e-05,25700000000.0,0.0272,-10.73,3.699,0.481
2e-13,5e-14,5.5e-13,8e-11,1.5e-09,2e-05,25100000000.0,0.0286,-10.39,3.742,0.799
2e-13,5e-14,5.5e-13,8e-11,1.5e-09,2.1e-05,24600000000.0,0.03,-10.11,3.79,1.101
2e-13,5e-14,5.5e-13,8e-11,1.5e-09,2.2e-05,24000000000.0,0.0313,-9.89,3.841,1.389
