C1,C2,Ld,Lg,Ls,WN1,WN2,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4e-06,8e-06,8000000000.0,0.00571,-10.73,3.172,7.641
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4e-06,7e-06,8240000000.0,0.00569,-11.1,3.13,7.57
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4e-06,7.5e-06,8080000000.0,0.0057,-10.9,3.15,7.626
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4e-06,8.5e-06,7970000000.0,0.00571,-10.57,3.197,7.617
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4e-06,9e-06,7990000000.0,0.00572,-10.43,3.223,7.557
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3e-06,8e-06,9600000000.0,0.00515,-3.582,3.943,5.977
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3e-06,7e-06,9640000000.0,0.00515,-3.688,3.854,6.012
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3e-06,7.5e-06,9600000000.0,0.00515,-3.633,3.898,6.011
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3e-06,8.5e-06,9590000000.0,0.00516,-3.535,3.989,5.907
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3e-06,9e-06,9620000000.0,0.00516,-3.491,4.037,5.802
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3.5e-06,8e-06,8490000000.0,0.00543,-6.408,3.401,7.182
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3.5e-06,7e-06,8560000000.0,0.00542,-6.616,3.341,7.16
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3.5e-06,7.5e-06,8510000000.0,0.00543,-6.507,3.37,7.19
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3.5e-06,8.5e-06,8510000000.0,0.00544,-6.318,3.434,7.137
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,3.5e-06,9e-06,8560000000.0,0.00544,-6.238,3.469,7.052
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4.5e-06,8e-06,8130000000.0,0.00598,-15.69,3.147,7.622
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4.5e-06,7e-06,8230000000.0,0.00597,-16.02,3.117,7.512
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4.5e-06,7.5e-06,8150000000.0,0.00597,-15.85,3.131,7.588
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4.5e-06,8.5e-06,8160000000.0,0.00599,-15.54,3.167,7.616
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,4.5e-06,9e-06,8240000000.0,0.00599,-15.4,3.188,7.571
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,5e-06,8e-06,8690000000.0,0.00625,-14.86,3.25,7.359
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,5e-06,7e-06,8720000000.0,0.00624,-14.66,3.229,7.22
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,5e-06,7.5e-06,8670000000.0,0.00625,-14.76,3.237,7.315
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,5e-06,8.5e-06,8560000000.0,0.00626,-14.95,3.265,7.476
1.5e-13,5e-14,2.2e-10,2.2e-10,5e-11,5e-06,9e-06,8310000000.0,0.00627,-15.03,3.282,7.661
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4e-06,8e-06,8970000000.0,0.00571,-13.04,3.46,6.224
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4e-06,7e-06,9080000000.0,0.00569,-13.48,3.4,6.167
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4e-06,7.5e-06,9020000000.0,0.0057,-13.25,3.428,6.216
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4e-06,8.5e-06,8920000000.0,0.00571,-12.85,3.493,6.194
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4e-06,9e-06,8940000000.0,0.00572,-12.68,3.529,6.128
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3e-06,8e-06,9810000000.0,0.00515,-4.861,4.109,5.009
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3e-06,7e-06,9990000000.0,0.00515,-4.981,4.004,5.041
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3e-06,7.5e-06,9880000000.0,0.00515,-4.918,4.056,5.042
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3e-06,8.5e-06,9790000000.0,0.00516,-4.807,4.164,4.94
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3e-06,9e-06,9820000000.0,0.00516,-4.758,4.22,4.836
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3.5e-06,8e-06,9100000000.0,0.00543,-8.128,3.64,5.897
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3.5e-06,7e-06,9200000000.0,0.00542,-8.357,3.562,5.88
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3.5e-06,7.5e-06,9130000000.0,0.00543,-8.237,3.6,5.908
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3.5e-06,8.5e-06,9110000000.0,0.00544,-8.028,3.682,5.85
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,3.5e-06,9e-06,9160000000.0,0.00544,-7.939,3.727,5.763
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4.5e-06,8e-06,9120000000.0,0.00598,-20.62,3.459,6.227
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4.5e-06,7e-06,9290000000.0,0.00597,-21.24,3.413,6.137
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4.5e-06,7.5e-06,9170000000.0,0.00597,-20.93,3.434,6.203
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4.5e-06,8.5e-06,9140000000.0,0.00599,-20.31,3.486,6.212
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,4.5e-06,9e-06,9220000000.0,0.00599,-20.02,3.516,6.159
1.5e-13,5e-14,2.2e-10,2.2e-10,1e-10,5e-06,8e-06,9600000000.0,0.00625,-19.28,3.565,6.068
