C1,C2,Ld,Lg,Ls,WN1,WN2,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,8e-06,6660000000.0,0.0186,-20.39,2.057,12.99
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,5e-06,7430000000.0,0.018,-20.29,2.268,11.26
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,6e-06,7110000000.0,0.0183,-20.3,2.149,12.22
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,7e-06,6810000000.0,0.0185,-20.41,2.088,12.76
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,9e-06,6460000000.0,0.0187,-20.23,2.045,12.96
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,1e-05,6460000000.0,0.0188,-20.0,2.046,12.73
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,1.1e-05,6370000000.0,0.0189,-19.74,2.056,12.34
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,1.2e-05,6460000000.0,0.019,-19.49,2.073,11.85
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,1.3e-05,6410000000.0,0.019,-19.27,2.095,11.28
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4.6e-06,1.4e-05,6490000000.0,0.0191,-19.07,2.122,10.69
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,8e-06,7160000000.0,0.0168,-10.32,2.188,12.9
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,5e-06,7380000000.0,0.0164,-11.98,2.308,11.57
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,6e-06,7250000000.0,0.0166,-11.36,2.233,12.35
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,7e-06,7150000000.0,0.0167,-10.8,2.199,12.77
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,9e-06,7230000000.0,0.0169,-9.9,2.192,12.79
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,1e-05,7380000000.0,0.017,-9.53,2.205,12.49
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,1.1e-05,7500000000.0,0.017,-9.22,2.226,12.04
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,1.2e-05,7640000000.0,0.0171,-8.96,2.252,11.49
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,1.3e-05,7820000000.0,0.0171,-8.75,2.284,10.88
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,4e-06,1.4e-05,7890000000.0,0.0171,-8.58,2.319,10.24
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,8e-06,6560000000.0,0.0204,-11.05,2.265,12.33
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,5e-06,7740000000.0,0.0195,-9.9,2.62,10.18
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,6e-06,7320000000.0,0.02,-10.26,2.423,11.34
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,7e-06,6880000000.0,0.0202,-10.65,2.321,12.01
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,9e-06,6260000000.0,0.0206,-11.45,2.236,12.37
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,1e-05,6040000000.0,0.0207,-11.86,2.224,12.2
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,1.1e-05,5930000000.0,0.0208,-12.24,2.224,11.86
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,1.2e-05,5770000000.0,0.0208,-12.6,2.233,11.41
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,1.3e-05,5750000000.0,0.0209,-12.93,2.249,10.89
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.2e-06,1.4e-05,5650000000.0,0.0209,-13.22,2.271,10.32
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,8e-06,6710000000.0,0.0222,-7.29,2.683,11.41
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,5e-06,8150000000.0,0.021,-6.46,3.262,8.79
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,6e-06,7710000000.0,0.0216,-6.76,2.94,10.18
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,7e-06,7190000000.0,0.0219,-7.03,2.774,10.99
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,9e-06,6370000000.0,0.0223,-7.53,2.632,11.52
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,1e-05,6010000000.0,0.0225,-7.77,2.605,11.39
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,1.1e-05,5740000000.0,0.0226,-7.98,2.594,11.1
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,1.2e-05,5560000000.0,0.0227,-8.17,2.595,10.68
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,1.3e-05,5360000000.0,0.0228,-8.34,2.605,10.18
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,5.8e-06,1.4e-05,5300000000.0,0.0228,-8.48,2.622,9.64
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,8e-06,7060000000.0,0.0238,-5.46,3.219,10.45
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,5e-06,8620000000.0,0.0223,-4.75,4.102,7.34
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,6e-06,8120000000.0,0.0231,-5.04,3.616,8.96
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,7e-06,7590000000.0,0.0235,-5.26,3.36,9.94
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,9e-06,6550000000.0,0.0241,-5.64,3.138,10.62
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,1e-05,6170000000.0,0.0243,-5.81,3.092,10.55
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,1.1e-05,5820000000.0,0.0244,-5.96,3.068,10.29
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,1.2e-05,5490000000.0,0.0245,-6.09,3.06,9.9
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,1.3e-05,5330000000.0,0.0246,-6.19,3.063,9.43
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,6.4e-06,1.4e-05,5030000000.0,0.0247,-6.28,3.074,8.9
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,8e-06,7420000000.0,0.0255,-4.41,3.815,9.52
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,5e-06,9150000000.0,0.0235,-3.75,5.061,5.9
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,6e-06,8620000000.0,0.0245,-4.02,4.387,7.75
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,7e-06,8020000000.0,0.0251,-4.23,4.021,8.9
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,9e-06,6910000000.0,0.0258,-4.56,3.697,9.77
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,1e-05,6390000000.0,0.026,-4.69,3.626,9.75
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,1.1e-05,5960000000.0,0.0262,-4.81,3.586,9.53
