L1p,L1s,L3p,L3s,Lm,WN1,WN2,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
3e-10,5e-10,1e-09,6e-10,5e-11,6e-06,2.5e-05,0.0334,-1.845,-19.49,11.05,1.022,0.481,0.588
3e-10,5e-10,1e-09,6e-10,5e-11,6e-06,1.5e-05,0.0278,-1.858,-1.41,14.17,0.649,0.42,-1.559
3e-10,5e-10,1e-09,6e-10,5e-11,6e-06,2e-05,0.0306,-1.857,-5.84,14.3,1.255,0.771,1.378
3e-10,5e-10,1e-09,6e-10,5e-11,6e-06,3e-05,0.0362,-1.841,-9.36,6.62,0.456,0.113,-2.802
3e-10,5e-10,1e-09,6e-10,5e-11,1.1e-05,2.5e-05,0.0342,-3.824,-19.28,16.22,1.838,1.259,3.044
3e-10,5e-10,1e-09,6e-10,5e-11,1.1e-05,1.5e-05,0.0286,-4.09,-1.88,20.43,0.835,0.697,-0.483
3e-10,5e-10,1e-09,6e-10,5e-11,1.1e-05,2e-05,0.0314,-3.913,-5.68,19.02,1.688,1.309,2.632
3e-10,5e-10,1e-09,6e-10,5e-11,1.1e-05,3e-05,0.037,-3.797,-9.84,12.13,1.268,0.653,1.545
3e-10,5e-10,1e-09,6e-10,5e-11,1.1e-05,3.5e-05,0.0398,-3.786,-5.8,8.05,0.622,0.188,-1.436
3e-10,5e-10,1e-09,6e-10,1e-10,6e-06,2.5e-05,0.0334,-1.823,-25.19,11.02,0.98,0.462,0.402
3e-10,5e-10,1e-09,6e-10,1e-10,6e-06,1.5e-05,0.0278,-1.84,-1.59,14.99,0.649,0.448,-1.563
3e-10,5e-10,1e-09,6e-10,1e-10,6e-06,2e-05,0.0306,-1.836,-6.42,14.53,1.245,0.777,1.336
3e-10,5e-10,1e-09,6e-10,1e-10,6e-06,3e-05,0.0362,-1.819,-10.38,6.65,0.44,0.111,-2.967
3e-10,5e-10,1e-09,6e-10,1e-10,6e-06,3.5e-05,0.039,-1.817,-6.26,2.5,0.172,0.011,-6.956
3e-10,5e-10,1e-09,6e-10,1e-10,1.1e-05,2.5e-05,0.0342,-3.756,-21.82,16.35,1.798,1.231,2.943
3e-10,5e-10,1e-09,6e-10,1e-10,1.1e-05,1.5e-05,0.0286,-4.069,-2.1,21.18,0.819,0.702,-0.57
3e-10,5e-10,1e-09,6e-10,1e-10,1.1e-05,2e-05,0.0314,-3.845,-5.98,19.31,1.659,1.291,2.549
3e-10,5e-10,1e-09,6e-10,1e-10,1.1e-05,3e-05,0.037,-3.73,-10.91,12.33,1.231,0.644,1.413
3e-10,5e-10,1e-09,6e-10,1e-10,1.1e-05,3.5e-05,0.0398,-3.719,-6.41,8.36,0.611,0.194,-1.512
3e-10,5e-10,1e-09,6e-10,1.5e-10,6e-06,2.5e-05,0.0334,-1.8,-24.3,10.93,0.922,0.436,0.136
3e-10,5e-10,1e-09,6e-10,1.5e-10,6e-06,1.5e-05,0.0278,-1.822,-1.82,15.8,0.644,0.47,-1.6
3e-10,5e-10,1e-09,6e-10,1.5e-10,6e-06,2e-05,0.0306,-1.813,-6.79,14.63,1.222,0.77,1.248
3e-10,5e-10,1e-09,6e-10,1.5e-10,6e-06,3e-05,0.0362,-1.797,-11.51,6.65,0.415,0.108,-3.215
3e-10,5e-10,1e-09,6e-10,1.5e-10,6e-06,3.5e-05,0.0389,-1.795,-6.94,2.61,0.167,0.012,-7.084
3e-10,5e-10,1e-09,6e-10,1.5e-10,1.1e-05,2.5e-05,0.0342,-3.687,-20.42,16.43,1.763,1.19,2.852
3e-10,5e-10,1e-09,6e-10,1.5e-10,1.1e-05,1.5e-05,0.0286,-4.047,-2.33,21.88,0.804,0.702,-0.656
3e-10,5e-10,1e-09,6e-10,1.5e-10,1.1e-05,2e-05,0.0314,-3.774,-6.09,19.51,1.637,1.272,2.483
3e-10,5e-10,1e-09,6e-10,1.5e-10,1.1e-05,3e-05,0.037,-3.663,-12.09,12.5,1.19,0.621,1.262
3e-10,5e-10,1e-09,6e-10,1.5e-10,1.1e-05,3.5e-05,0.0397,-3.652,-7.09,8.63,0.597,0.195,-1.62
3e-10,5e-10,1e-09,6e-10,2e-10,6e-06,2.5e-05,0.0334,-1.778,-19.23,10.79,0.851,0.404,-0.216
3e-10,5e-10,1e-09,6e-10,2e-10,6e-06,1.5e-05,0.0278,-1.805,-2.08,16.58,0.639,0.485,-1.639
3e-10,5e-10,1e-09,6e-10,2e-10,6e-06,2e-05,0.0306,-1.79,-6.84,14.62,1.18,0.751,1.092
3e-10,5e-10,1e-09,6e-10,2e-10,6e-06,3e-05,0.0361,-1.774,-12.75,6.62,0.384,0.103,-3.553
3e-10,5e-10,1e-09,6e-10,2e-10,6e-06,3.5e-05,0.0389,-1.772,-7.72,2.68,0.159,0.012,-7.303
3e-10,5e-10,1e-09,6e-10,2e-10,1.1e-05,2.5e-05,0.0342,-3.618,-17.43,16.48,1.707,1.138,2.71
3e-10,5e-10,1e-09,6e-10,2e-10,1.1e-05,1.5e-05,0.0286,-4.021,-2.54,22.47,0.796,0.704,-0.703
3e-10,5e-10,1e-09,6e-10,2e-10,1.1e-05,2e-05,0.0314,-3.701,-6.0,19.63,1.603,1.239,2.385
3e-10,5e-10,1e-09,6e-10,2e-10,1.1e-05,3e-05,0.037,-3.596,-13.4,12.64,1.138,0.583,1.063
3e-10,5e-10,1e-09,6e-10,2e-10,1.1e-05,3.5e-05,0.0397,-3.585,-7.87,8.87,0.572,0.186,-1.803
3e-10,5e-10,1e-09,6e-10,2.5e-10,6e-06,2.5e-05,0.0333,-1.754,-15.84,10.62,0.776,0.365,-0.615
