C1,C2,C3,C4,C5,L1,L2,L3,L4,L5,L6,WN1,WN2,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,9e-06,0.0382,-18.91,-16.31,7.816,5.976,2.138,4.845
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,6e-06,0.0318,-1.62,-2.94,6.994,5.3,2.598,4.102
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,7e-06,0.034,-2.93,-5.28,8.243,5.82,2.89,4.573
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,8e-06,0.0361,-6.5,-10.09,8.151,6.074,2.628,4.807
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,1e-05,0.0403,-12.75,-11.54,6.448,5.292,1.758,4.544
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,1.1e-05,0.0425,-6.89,-7.65,5.775,4.672,1.512,4.218
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,1.2e-05,0.0446,-4.66,-5.35,3.983,4.678,1.134,4.277
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,9e-06,1.3e-05,0.0467,-3.55,-3.91,2.877,4.261,0.72,4.05
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,6e-06,9e-06,0.0318,-13.74,-15.38,8.105,6.117,2.452,4.587
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,6e-06,7e-06,0.0276,-1.8,-4.22,8.777,5.356,3.029,3.914
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,6e-06,8e-06,0.0297,-4.54,-8.17,8.295,5.876,2.94,4.35
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,6e-06,1e-05,0.034,-13.09,-13.06,6.765,5.69,2.018,4.471
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,6e-06,1.1e-05,0.0361,-6.54,-8.54,6.044,4.994,1.747,4.163
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,6e-06,1.2e-05,0.0382,-4.22,-5.86,4.326,5.029,1.303,4.258
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,6e-06,1.3e-05,0.0403,-3.12,-4.22,3.241,4.659,0.841,4.081
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,9e-06,0.034,-15.44,-15.85,8.047,6.08,2.34,4.683
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,6e-06,0.0276,-1.05,-2.51,7.387,4.949,2.635,3.528
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,7e-06,0.0297,-2.1,-4.52,8.662,5.526,2.999,4.154
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,8e-06,0.0318,-5.11,-8.73,8.311,5.967,2.84,4.522
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,1e-05,0.0361,-13.17,-12.6,6.684,5.532,1.922,4.487
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,1.1e-05,0.0382,-6.68,-8.26,5.966,4.811,1.665,4.135
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,1.2e-05,0.0403,-4.37,-5.7,4.232,4.88,1.247,4.25
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,7e-06,1.3e-05,0.0425,-3.26,-4.12,3.129,4.524,0.803,4.078
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,9e-06,0.0361,-17.26,-16.19,7.951,6.033,2.235,4.769
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,6e-06,0.0297,-1.3,-2.71,7.099,5.13,2.6,3.806
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,7e-06,0.0318,-2.47,-4.87,8.477,5.682,2.953,4.373
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,8e-06,0.034,-5.76,-9.36,8.262,6.033,2.736,4.674
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,1e-05,0.0382,-13.05,-12.09,6.575,5.388,1.836,4.504
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,1.1e-05,0.0403,-6.8,-7.96,5.877,4.708,1.586,4.156
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,1.2e-05,0.0425,-4.52,-5.53,4.118,4.763,1.19,4.254
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,3e-10,8e-06,1.3e-05,0.0446,-3.4,-4.01,3.008,4.389,0.763,4.065
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,9e-06,0.0382,-18.68,-6.57,6.419,3.585,1.072,2.773
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,6e-06,0.0318,-1.69,-5.16,7.849,4.323,1.964,3.093
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,7e-06,0.034,-3.16,-11.07,7.862,3.956,1.676,2.97
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,8e-06,0.0361,-6.87,-11.8,7.667,3.812,1.297,2.913
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,1e-05,0.0403,-13.66,-4.26,4.484,3.063,0.793,2.311
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,1.1e-05,0.0425,-7.21,-3.01,3.525,2.588,0.461,1.796
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,1.2e-05,0.0446,-4.8,-2.23,1.458,2.558,0.328,1.797
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,9e-06,1.3e-05,0.0467,-3.62,-1.72,0.561,2.334,0.108,1.551
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,6e-06,9e-06,0.0318,-13.03,-7.13,6.771,3.796,1.216,2.652
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,6e-06,7e-06,0.0276,-1.96,-9.27,8.211,3.965,1.957,2.616
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,6e-06,8e-06,0.0297,-4.86,-13.11,8.094,3.906,1.479,2.662
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,6e-06,1e-05,0.034,-13.57,-4.51,4.801,3.395,0.901,2.37
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,6e-06,1.1e-05,0.0361,-6.86,-3.17,3.727,2.838,0.556,1.853
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,6e-06,1.2e-05,0.0382,-4.37,-2.33,1.668,2.804,0.406,1.867
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,6e-06,1.3e-05,0.0403,-3.18,-1.78,0.812,2.586,0.16,1.652
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,9e-06,0.034,-14.7,-6.95,6.682,3.719,1.168,2.691
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,6e-06,0.0276,-1.1,-4.47,8.424,4.266,2.079,2.799
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,7e-06,0.0297,-2.28,-9.82,8.166,3.959,1.868,2.735
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,8e-06,0.0318,-5.44,-12.73,7.991,3.873,1.406,2.747
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,1e-05,0.0361,-13.86,-4.43,4.717,3.267,0.865,2.34
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,1.1e-05,0.0382,-7.0,-3.12,3.67,2.711,0.521,1.784
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,1.2e-05,0.0403,-4.51,-2.3,1.612,2.706,0.38,1.831
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,7e-06,1.3e-05,0.0425,-3.32,-1.76,0.739,2.502,0.144,1.627
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,9e-06,0.0361,-16.61,-6.77,6.566,3.649,1.12,2.731
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,6e-06,0.0297,-1.36,-4.79,8.176,4.303,2.031,2.953
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,7e-06,0.0318,-2.68,-10.42,8.049,3.955,1.774,2.852
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,8e-06,0.034,-6.11,-12.29,7.849,3.838,1.353,2.827
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,1e-05,0.0382,-13.89,-4.35,4.612,3.153,0.83,2.317
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,1.1e-05,0.0403,-7.12,-3.07,3.603,2.626,0.49,1.762
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,1.2e-05,0.0425,-4.66,-2.27,1.543,2.622,0.354,1.804
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,1e-10,4e-10,8e-06,1.3e-05,0.0446,-3.47,-1.74,0.655,2.417,0.127,1.592
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,9e-06,0.0382,-16.42,-6.7,7.992,12.08,5.616,8.035
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,6e-06,0.0318,-1.71,-5.57,9.141,14.29,8.414,8.386
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,7e-06,0.034,-2.96,-6.16,8.683,13.09,8.091,8.263
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,8e-06,0.0361,-6.15,-6.55,8.586,12.97,7.091,8.274
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,1e-05,0.0403,-13.71,-6.52,7.03,9.544,4.389,7.214
