C1,L,Vbias,W1,Wvar,idc,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
1.1e-13,3e-10,0.9,4e-05,1e-05,0.01,0.0116,30200000000.0,1180000000.0,14.59,-94.14
1.1e-13,3e-10,0.9,4e-05,1e-05,0.005,0.00532,31900000000.0,1330000000.0,14.59,-95.56
1.1e-13,3e-10,0.9,4e-05,1e-05,0.0075,0.00835,30600000000.0,1270000000.0,14.59,-96.22
1.1e-13,3e-10,0.9,4e-05,1e-05,0.0125,0.015,30100000000.0,1100000000.0,14.83,-93.03
1.1e-13,3e-10,0.9,4e-05,1e-05,0.015,0.0187,29900000000.0,1010000000.0,14.97,-99.08
1.1e-13,3e-10,0.9,4e-05,5e-06,0.01,0.0116,31600000000.0,888000000.0,14.59,-87.57
1.1e-13,3e-10,0.9,4e-05,5e-06,0.005,0.00532,34500000000.0,905000000.0,14.59,-89.79
1.1e-13,3e-10,0.9,4e-05,5e-06,0.0075,0.00835,31600000000.0,925000000.0,14.59,-89.11
1.1e-13,3e-10,0.9,4e-05,5e-06,0.0125,0.015,31500000000.0,836000000.0,14.59,-85.75
1.1e-13,3e-10,0.9,4e-05,5e-06,0.015,0.0187,31300000000.0,792000000.0,14.59,-89.49
1.1e-13,3e-10,0.9,4e-05,6e-06,0.01,0.0116,31200000000.0,983000000.0,14.59,-88.15
1.1e-13,3e-10,0.9,4e-05,6e-06,0.005,0.00532,34200000000.0,1030000000.0,14.59,-90.9
1.1e-13,3e-10,0.9,4e-05,6e-06,0.0075,0.00835,31200000000.0,1030000000.0,14.59,-90.24
1.1e-13,3e-10,0.9,4e-05,6e-06,0.0125,0.015,31200000000.0,925000000.0,14.59,-87.26
1.1e-13,3e-10,0.9,4e-05,6e-06,0.015,0.0187,31100000000.0,871000000.0,14.59,-89.61
1.1e-13,3e-10,0.9,4e-05,7e-06,0.01,0.0116,31000000000.0,1060000000.0,14.59,-103.6
1.1e-13,3e-10,0.9,4e-05,7e-06,0.005,0.00532,33400000000.0,1140000000.0,14.59,-92.24
1.1e-13,3e-10,0.9,4e-05,7e-06,0.0075,0.00835,30900000000.0,1110000000.0,14.59,-91.06
1.1e-13,3e-10,0.9,4e-05,7e-06,0.0125,0.015,30900000000.0,988000000.0,14.59,-88.89
1.1e-13,3e-10,0.9,4e-05,7e-06,0.015,0.0187,30700000000.0,924000000.0,14.59,-92.08
1.1e-13,3e-10,0.9,4e-05,8e-06,0.01,0.0116,30800000000.0,1110000000.0,14.59,-90.73
1.1e-13,3e-10,0.9,4e-05,8e-06,0.005,0.00532,32600000000.0,1220000000.0,14.59,-93.4
1.1e-13,3e-10,0.9,4e-05,8e-06,0.0075,0.00835,30900000000.0,1180000000.0,14.59,-93.1
1.1e-13,3e-10,0.9,4e-05,8e-06,0.0125,0.015,30600000000.0,1030000000.0,14.59,-89.53
1.1e-13,3e-10,0.9,4e-05,8e-06,0.015,0.0187,30400000000.0,961000000.0,14.63,-95.06
1.1e-13,3e-10,0.9,4e-05,9e-06,0.01,0.0116,30400000000.0,1150000000.0,14.59,-92.32
1.1e-13,3e-10,0.9,4e-05,9e-06,0.005,0.00532,32300000000.0,1280000000.0,14.59,-94.3
1.1e-13,3e-10,0.9,4e-05,9e-06,0.0075,0.00835,30800000000.0,1230000000.0,14.59,-94.57
1.1e-13,3e-10,0.9,4e-05,9e-06,0.0125,0.015,30300000000.0,1070000000.0,14.66,-91.59
1.1e-13,3e-10,0.9,4e-05,9e-06,0.015,0.0187,30200000000.0,991000000.0,14.81,-96.6
1.1e-13,3e-10,0.9,4e-05,1.1e-05,0.01,0.0116,30100000000.0,1200000000.0,14.74,-96.09
1.1e-13,3e-10,0.9,4e-05,1.1e-05,0.005,0.00532,31100000000.0,1360000000.0,14.59,-96.46
1.1e-13,3e-10,0.9,4e-05,1.1e-05,0.0075,0.00835,30900000000.0,1290000000.0,14.59,-98.32
1.1e-13,3e-10,0.9,4e-05,1.1e-05,0.0125,0.015,29900000000.0,1110000000.0,14.97,-94.93
1.1e-13,3e-10,0.9,4e-05,1.1e-05,0.015,0.0187,29600000000.0,1020000000.0,15.12,-100.5
1.1e-13,3e-10,0.9,4e-05,1.2e-05,0.01,0.0116,29800000000.0,1210000000.0,14.87,-98.18
1.1e-13,3e-10,0.9,4e-05,1.2e-05,0.005,0.00532,30600000000.0,1380000000.0,14.59,-97.53
1.1e-13,3e-10,0.9,4e-05,1.2e-05,0.0075,0.00835,31300000000.0,1310000000.0,14.59,-100.7
1.1e-13,3e-10,0.9,4e-05,1.2e-05,0.0125,0.015,29600000000.0,1120000000.0,15.09,-96.93
1.1e-13,3e-10,0.9,4e-05,1.2e-05,0.015,0.0187,29400000000.0,1020000000.0,15.23,-101.5
1.1e-13,3e-10,0.9,4e-05,1.3e-05,0.01,0.0116,29500000000.0,1220000000.0,14.98,-100.8
1.1e-13,3e-10,0.9,4e-05,1.3e-05,0.005,0.00532,30300000000.0,1390000000.0,14.59,-98.52
1.1e-13,3e-10,0.9,4e-05,1.3e-05,0.0075,0.00835,31800000000.0,1320000000.0,14.61,-103.1
1.1e-13,3e-10,0.9,4e-05,1.3e-05,0.0125,0.015,29400000000.0,1110000000.0,15.2,-98.56
1.1e-13,3e-10,0.9,4e-05,1.3e-05,0.015,0.0187,29200000000.0,1010000000.0,15.34,-100.6
1.1e-13,3e-10,0.9,4e-05,1.4e-05,0.01,0.0116,29400000000.0,1220000000.0,15.08,-102.9
1.1e-13,3e-10,0.9,4e-05,1.4e-05,0.005,0.00532,30100000000.0,1390000000.0,14.59,-99.34
1.1e-13,3e-10,0.9,4e-05,1.4e-05,0.0075,0.00835,32300000000.0,1320000000.0,14.7,-104.4
1.1e-13,3e-10,0.9,4e-05,1.4e-05,0.0125,0.015,29200000000.0,1110000000.0,15.3,-98.57
1.1e-13,3e-10,0.9,4e-05,1.4e-05,0.015,0.0187,29000000000.0,994000000.0,15.42,-99.03
1.1e-13,3e-10,0.9,4e-05,1.5e-05,0.01,0.0116,29200000000.0,1210000000.0,15.16,-104.0
1.1e-13,3e-10,0.9,4e-05,1.5e-05,0.005,0.00532,29500000000.0,1390000000.0,14.59,-99.77
1.1e-13,3e-10,0.9,4e-05,1.5e-05,0.0075,0.00835,32900000000.0,1310000000.0,14.77,-105.0
1.1e-13,3e-10,0.9,4e-05,1.5e-05,0.0125,0.015,29000000000.0,1110000000.0,15.37,-101.1
1.1e-13,3e-10,0.9,4e-05,1.5e-05,0.015,0.0187,28800000000.0,964000000.0,15.49,-94.79
1.1e-13,3e-10,0.9,3e-05,1e-05,0.01,0.0122,32700000000.0,1380000000.0,15.27,-91.79
1.1e-13,3e-10,0.9,3e-05,1e-05,0.005,0.00549,33700000000.0,1760000000.0,14.59,-97.85
1.1e-13,3e-10,0.9,3e-05,1e-05,0.0075,0.00869,34200000000.0,1540000000.0,15.09,-98.72
1.1e-13,3e-10,0.9,3e-05,1e-05,0.0125,0.0159,32500000000.0,1210000000.0,15.38,-89.15
1.1e-13,3e-10,0.9,3e-05,1e-05,0.015,0.0199,32300000000.0,991000000.0,15.41,-93.94
1.1e-13,3e-10,0.9,3e-05,5e-06,0.01,0.0122,34400000000.0,1170000000.0,14.59,-82.48
1.1e-13,3e-10,0.9,3e-05,5e-06,0.005,0.00549,36700000000.0,1400000000.0,14.59,-88.28
1.1e-13,3e-10,0.9,3e-05,5e-06,0.0075,0.00869,34700000000.0,1290000000.0,14.59,-86.6
1.1e-13,3e-10,0.9,3e-05,5e-06,0.0125,0.0159,34200000000.0,1030000000.0,14.59,-80.57
1.1e-13,3e-10,0.9,3e-05,5e-06,0.015,0.0199,34000000000.0,867000000.0,14.59,-84.1
1.1e-13,3e-10,0.9,3e-05,6e-06,0.01,0.0122,34100000000.0,1250000000.0,14.59,-84.53
1.1e-13,3e-10,0.9,3e-05,6e-06,0.005,0.00549,35600000000.0,1550000000.0,14.59,-90.03
1.1e-13,3e-10,0.9,3e-05,6e-06,0.0075,0.00869,34700000000.0,1390000000.0,14.59,-88.83
1.1e-13,3e-10,0.9,3e-05,6e-06,0.0125,0.0159,33800000000.0,1100000000.0,14.68,-83.43
1.1e-13,3e-10,0.9,3e-05,6e-06,0.015,0.0199,33600000000.0,933000000.0,14.73,-86.6
1.1e-13,3e-10,0.9,3e-05,7e-06,0.01,0.0122,33600000000.0,1310000000.0,14.77,-86.7
1.1e-13,3e-10,0.9,3e-05,7e-06,0.005,0.00549,35300000000.0,1650000000.0,14.59,-91.51
1.1e-13,3e-10,0.9,3e-05,7e-06,0.0075,0.00869,34600000000.0,1460000000.0,14.59,-90.82
1.1e-13,3e-10,0.9,3e-05,7e-06,0.0125,0.0159,33500000000.0,1150000000.0,14.9,-84.59
1.1e-13,3e-10,0.9,3e-05,7e-06,0.015,0.0199,33200000000.0,974000000.0,14.95,-88.39
1.1e-13,3e-10,0.9,3e-05,8e-06,0.01,0.0122,33400000000.0,1340000000.0,14.97,-88.19
1.1e-13,3e-10,0.9,3e-05,8e-06,0.005,0.00549,34700000000.0,1710000000.0,14.59,-93.57
1.1e-13,3e-10,0.9,3e-05,8e-06,0.0075,0.00869,34200000000.0,1500000000.0,14.78,-93.81
1.1e-13,3e-10,0.9,3e-05,8e-06,0.0125,0.0159,33100000000.0,1190000000.0,15.09,-85.87
1.1e-13,3e-10,0.9,3e-05,8e-06,0.015,0.0199,32900000000.0,986000000.0,15.13,-89.54
1.1e-13,3e-10,0.9,3e-05,9e-06,0.01,0.0122,33100000000.0,1370000000.0,15.13,-90.39
1.1e-13,3e-10,0.9,3e-05,9e-06,0.005,0.00549,33800000000.0,1750000000.0,14.59,-95.58
1.1e-13,3e-10,0.9,3e-05,9e-06,0.0075,0.00869,34300000000.0,1530000000.0,14.95,-96.19
1.1e-13,3e-10,0.9,3e-05,9e-06,0.0125,0.0159,32800000000.0,1200000000.0,15.24,-87.69
1.1e-13,3e-10,0.9,3e-05,9e-06,0.015,0.0199,32500000000.0,991000000.0,15.27,-94.57
1.1e-13,3e-10,0.9,3e-05,1.1e-05,0.01,0.0122,32500000000.0,1370000000.0,15.39,-92.74
1.1e-13,3e-10,0.9,3e-05,1.1e-05,0.005,0.00549,33000000000.0,1760000000.0,14.59,-99.85
1.1e-13,3e-10,0.9,3e-05,1.1e-05,0.0075,0.00869,33900000000.0,1530000000.0,15.2,-98.34
1.1e-13,3e-10,0.9,3e-05,1.1e-05,0.0125,0.0159,32300000000.0,1200000000.0,15.5,-89.66
1.1e-13,3e-10,0.9,3e-05,1.1e-05,0.015,0.0199,32000000000.0,965000000.0,15.51,-97.06
1.1e-13,3e-10,0.9,3e-05,1.2e-05,0.01,0.0122,32300000000.0,1370000000.0,15.49,-94.76
1.1e-13,3e-10,0.9,3e-05,1.2e-05,0.005,0.00549,32400000000.0,1750000000.0,14.59,-101.3
1.1e-13,3e-10,0.9,3e-05,1.2e-05,0.0075,0.00869,34100000000.0,1520000000.0,15.3,-100.6
1.1e-13,3e-10,0.9,3e-05,1.2e-05,0.0125,0.0159,32000000000.0,1200000000.0,15.59,-91.65
1.1e-13,3e-10,0.9,3e-05,1.2e-05,0.015,0.0199,31700000000.0,902000000.0,15.61,-95.26
1.1e-13,3e-10,0.9,3e-05,1.3e-05,0.01,0.0122,32000000000.0,1340000000.0,15.57,-93.31
1.1e-13,3e-10,0.9,3e-05,1.3e-05,0.005,0.00549,32100000000.0,1740000000.0,14.59,-104.0
1.1e-13,3e-10,0.9,3e-05,1.3e-05,0.0075,0.00869,34300000000.0,1500000000.0,15.38,-104.7
1.1e-13,3e-10,0.9,3e-05,1.3e-05,0.0125,0.0159,31700000000.0,1160000000.0,15.68,-94.59
1.1e-13,3e-10,0.9,3e-05,1.3e-05,0.015,0.0199,31500000000.0,889000000.0,15.69,-94.41
1.1e-13,3e-10,0.9,3e-05,1.4e-05,0.01,0.0122,31800000000.0,1330000000.0,15.64,-97.71
1.1e-13,3e-10,0.9,3e-05,1.4e-05,0.005,0.00549,31900000000.0,1710000000.0,14.59,-104.0
1.1e-13,3e-10,0.9,3e-05,1.4e-05,0.0075,0.00869,34100000000.0,1480000000.0,15.43,-105.1
